year,month,avg_temp,total_precip,max_temp,min_temp,rain_days,extreme_rain_days,heat_stress_days,precip_3m_rolling,precip_anomaly
2015,1,21.43727598566308,0.12,31.27777777777778,9.000000000000002,1,0,0,0.12,0.0
2015,2,22.115079365079367,0.94,31.5,10.999999999999998,1,0,0,0.53,0.4099999999999999
2015,3,21.67383512544803,0.6000000000000001,31.5,10.388888888888891,3,0,0,0.5533333333333333,0.046666666666666745
2015,4,20.81851851851852,6.75,30.22222222222222,14.61111111111111,11,0,0,2.763333333333333,3.986666666666667
2015,5,19.77240143369176,4.72,26.999999999999996,14.38888888888889,10,0,0,4.023333333333333,0.6966666666666663
2015,6,18.675925925925927,4.54,26.5,9.5,4,0,0,5.336666666666667,-0.7966666666666669
2015,7,18.118279569892472,0.55,28.388888888888886,7.11111111111111,2,0,0,3.27,-2.7199999999999998
2015,8,18.485663082437277,0.08,27.277777777777775,6.500000000000002,0,0,0,1.7233333333333334,-1.6433333333333333
2015,9,19.987037037037037,0.25,30.11111111111111,9.000000000000002,1,0,0,0.2933333333333334,-0.04333333333333339
2015,10,21.268817204301076,2.19,30.22222222222222,10.0,6,0,0,0.84,1.35
2015,11,19.90925925925926,8.51,28.277777777777782,12.611111111111112,16,0,0,3.65,4.859999999999999
2015,12,20.166666666666664,5.95,28.77777777777778,12.5,4,0,0,5.55,0.40000000000000036
2016,1,20.729390681003583,5.08,28.388888888888886,14.222222222222221,6,0,0,6.513333333333333,-1.4333333333333327
2016,2,20.79310344827586,1.56,30.0,11.500000000000002,2,0,0,4.196666666666666,-2.6366666666666663
2016,3,22.801075268817204,1.3399999999999999,32.0,12.611111111111112,2,0,0,2.66,-1.3200000000000003
2016,4,20.87037037037037,4.83,29.0,12.611111111111112,12,0,0,2.5766666666666667,2.2533333333333334
2016,5,18.953405017921146,3.21,26.0,10.999999999999998,8,0,0,3.1266666666666665,0.08333333333333348
2016,6,17.946296296296296,0.84,26.0,8.61111111111111,3,0,0,2.9600000000000004,-2.1200000000000006
2016,7,17.623655913978496,0.0,28.000000000000004,9.000000000000002,0,0,0,1.3499999999999999,-1.3499999999999999
2016,8,17.992831541218635,0.32,28.000000000000004,8.0,1,0,0,0.38666666666666666,-0.06666666666666665
2016,9,18.866666666666667,0.04,29.72222222222222,9.722222222222221,0,0,0,0.12,-0.07999999999999999
2016,10,20.928315412186382,0.8,30.0,11.61111111111111,3,0,0,0.3866666666666667,0.41333333333333333
2016,11,19.67962962962963,6.28,28.22222222222222,14.000000000000002,13,0,0,2.3733333333333335,3.9066666666666667
2016,12,19.928315412186382,0.7,29.0,10.999999999999998,2,0,0,2.5933333333333333,-1.8933333333333333
2017,1,20.956989247311828,1.02,31.0,10.5,1,0,0,2.6666666666666665,-1.6466666666666665
2017,2,21.414682539682538,0.6599999999999999,30.0,13.0,2,0,0,0.7933333333333333,-0.13333333333333341
2017,3,22.57777777777778,0.69,32.0,12.0,3,0,0,0.79,-0.10000000000000009
2017,4,20.918518518518518,2.37,30.5,12.0,4,0,0,1.24,1.1300000000000001
2017,5,19.81720430107527,2.16,28.22222222222222,10.999999999999998,8,0,0,1.7400000000000002,0.41999999999999993
2017,6,19.274074074074075,0.08,27.5,10.0,0,0,0,1.5366666666666668,-1.4566666666666668
2017,7,18.636200716845877,1.26,28.000000000000004,8.277777777777779,1,0,0,1.1666666666666667,0.09333333333333327
2017,8,18.948028673835125,0.89,28.22222222222222,10.0,3,0,0,0.7433333333333333,0.14666666666666672
2017,9,19.44259259259259,0.6,30.0,10.999999999999998,2,0,0,0.9166666666666666,-0.31666666666666665
2017,10,20.755555555555553,4.6499999999999995,32.0,12.388888888888888,6,0,0,2.0466666666666664,2.603333333333333
2017,11,19.261111111111113,5.41,26.22222222222222,13.0,12,0,0,3.5533333333333332,1.856666666666667
2017,12,20.249103942652333,0.28,28.000000000000004,12.0,1,0,0,3.4466666666666668,-3.166666666666667
2018,1,21.161290322580644,0.41000000000000003,30.0,10.61111111111111,1,0,0,2.0333333333333337,-1.6233333333333335
2018,2,22.03769841269841,0.0,32.0,12.277777777777779,0,0,0,0.23,-0.23
2018,3,19.695340501792113,8.25,28.000000000000004,14.88888888888889,13,0,0,2.8866666666666667,5.363333333333333
2018,4,19.633333333333333,9.49,26.999999999999996,11.38888888888889,11,0,0,5.913333333333334,3.576666666666666
2018,5,19.229390681003583,4.1499999999999995,26.999999999999996,10.5,8,0,0,7.296666666666667,-3.1466666666666674
2018,6,17.847736625514404,0.8600000000000001,25.0,10.0,2,0,0,4.833333333333333,-3.9733333333333327
2018,7,17.00716845878136,0.24000000000000002,25.0,6.611111111111111,0,0,0,1.75,-1.51
2018,8,17.5,2.01,26.999999999999996,9.000000000000002,1,0,0,1.0366666666666666,0.9733333333333332
2018,9,19.305555555555554,0.2,29.0,10.0,1,0,0,0.8166666666666668,-0.6166666666666667
2018,10,20.021505376344084,0.76,29.0,10.5,3,0,0,0.9899999999999999,-0.22999999999999987
2018,11,20.311111111111114,2.35,29.0,10.999999999999998,7,0,0,1.1033333333333333,1.2466666666666668
2018,12,19.720430107526884,8.17,26.999999999999996,14.000000000000002,9,0,0,3.76,4.41
2019,1,20.96594982078853,0.16,29.22222222222222,12.0,1,0,0,3.56,-3.4
2019,2,21.77579365079365,0.0,31.0,12.0,0,0,0,2.776666666666667,-2.776666666666667
2019,3,23.043010752688172,0.28,32.0,12.0,1,0,0,0.1466666666666667,0.13333333333333333
2019,4,22.92512077294686,0.0,31.0,16.0,0,0,0,0.09333333333333334,-0.09333333333333334
2019,5,19.75347222222222,0.28,26.0,13.38888888888889,1,0,0,0.18666666666666668,0.09333333333333335
2019,6,18.672222222222224,1.23,28.000000000000004,10.999999999999998,3,0,0,0.5033333333333333,0.7266666666666667
2019,7,18.781362007168457,0.0,28.000000000000004,9.611111111111109,0,0,0,0.5033333333333333,-0.5033333333333333
2019,8,18.78673835125448,1.0,29.0,9.000000000000002,3,0,0,0.7433333333333333,0.2566666666666667
2019,9,19.796296296296298,1.68,29.0,11.722222222222221,3,0,0,0.8933333333333332,0.7866666666666667
2019,10,19.593189964157705,5.9,29.0,13.722222222222223,13,0,0,2.86,3.0400000000000005
2019,11,19.896296296296295,6.5,26.999999999999996,15.0,7,0,0,4.693333333333333,1.8066666666666666
2019,12,19.648745519713263,9.95,26.22222222222222,12.0,12,0,0,7.45,2.499999999999999
2020,1,20.155913978494624,5.09,26.999999999999996,12.777777777777779,11,0,0,7.18,-2.09
2020,2,20.752873563218394,3.79,29.0,12.0,5,0,0,6.276666666666666,-2.4866666666666664
2020,3,20.978494623655916,5.35,29.0,14.000000000000002,9,0,0,4.743333333333333,0.6066666666666665
2020,4,20.14814814814815,7.2,28.000000000000004,13.0,9,0,0,5.446666666666666,1.7533333333333339
2020,5,19.64695340501792,1.81,28.000000000000004,10.0,5,0,0,4.786666666666667,-2.976666666666667
2020,6,18.225925925925928,2.6199999999999997,27.11111111111111,8.722222222222223,4,0,0,3.876666666666667,-1.2566666666666673
2020,7,17.6505376344086,0.12,26.0,8.0,0,0,0,1.5166666666666666,-1.3966666666666665
2020,8,18.485663082437277,0.02,28.000000000000004,9.000000000000002,0,0,0,0.9199999999999999,-0.8999999999999999
2020,9,18.67777777777778,1.7,29.22222222222222,10.0,3,0,0,0.6133333333333333,1.0866666666666667
2020,10,20.43548387096774,1.15,30.0,13.0,5,0,0,0.9566666666666666,0.19333333333333336
2020,11,20.175925925925927,1.65,28.277777777777782,15.0,3,0,0,1.5,0.1499999999999999
2020,12,20.555555555555557,1.28,29.0,13.0,2,0,0,1.36,-0.08000000000000007
2021,1,20.800925925925927,0.5,30.0,12.0,2,0,0,1.1433333333333333,-0.6433333333333333
2021,2,20.52888888888889,3.63,30.0,10.999999999999998,2,0,0,1.8033333333333335,1.8266666666666664
2021,3,21.449820788530467,0.54,30.0,14.000000000000002,3,0,0,1.5566666666666666,-1.0166666666666666
2021,4,20.49616858237548,4.42,30.0,14.61111111111111,7,0,0,2.8633333333333333,1.5566666666666666
2021,5,19.06272401433692,6.94,26.999999999999996,12.0,9,0,0,3.966666666666667,2.9733333333333336
2021,6,17.461111111111112,0.01,25.0,10.0,0,0,0,3.7899999999999996,-3.78
2021,7,17.385304659498207,0.28,25.0,9.722222222222221,1,0,0,2.41,-2.13
2021,8,18.216845878136198,0.47,31.0,8.722222222222223,1,0,0,0.25333333333333335,0.21666666666666662
2021,9,19.39814814814815,0.04,29.22222222222222,10.61111111111111,0,0,0,0.26333333333333336,-0.22333333333333336
2021,10,21.06810035842294,0.56,30.0,12.722222222222221,2,0,0,0.3566666666666667,0.20333333333333337
2021,11,20.85740740740741,2.13,30.0,14.000000000000002,4,0,0,0.91,1.2199999999999998
2021,12,19.50716845878136,2.14,26.999999999999996,14.11111111111111,9,0,0,1.61,0.53
2022,1,20.172043010752688,1.62,29.22222222222222,10.999999999999998,5,0,0,1.9633333333333332,-0.34333333333333305
2022,2,21.232142857142858,3.08,30.11111111111111,13.0,3,0,0,2.28,0.8000000000000003
2022,3,21.872759856630825,0.64,31.22222222222222,10.999999999999998,2,0,0,1.78,-1.1400000000000001
2022,4,20.75185185185185,4.03,29.0,15.0,5,0,0,2.5833333333333335,1.4466666666666668
2022,5,19.9247311827957,1.28,29.0,13.0,3,0,0,1.9833333333333336,-0.7033333333333336
2022,6,18.391111111111112,0.04,26.27777777777778,9.000000000000002,0,0,0,1.7833333333333339,-1.7433333333333338
2022,7,17.4426523297491,0.16999999999999998,26.22222222222222,9.38888888888889,1,0,0,0.496666666666667,-0.326666666666667
2022,8,17.537037037037035,0.2,29.38888888888889,7.6111111111111125,0,0,0,0.13666666666666696,0.06333333333333305
2022,9,18.70555555555556,0.43,28.388888888888886,9.611111111111109,1,0,0,0.266666666666667,0.163333333333333
2022,10,20.263440860215052,0.0,29.0,9.777777777777779,0,0,0,0.21000000000000027,-0.21000000000000027
2022,11,19.549808429118773,0.0,27.22222222222222,14.000000000000002,0,0,0,0.14333333333333362,-0.14333333333333362
2022,12,19.958781362007166,0.51,28.388888888888886,12.0,1,0,0,0.1700000000000003,0.33999999999999975
2023,1,20.514336917562723,0.0,30.22222222222222,9.888888888888888,0,0,0,0.1700000000000003,-0.1700000000000003
2023,2,22.107142857142858,0.0,31.22222222222222,12.5,0,0,0,0.1700000000000003,-0.1700000000000003
2023,3,21.655913978494624,0.0,31.11111111111111,14.000000000000002,0,0,0,0.0,0.0
2023,4,19.720370370370368,1.19,28.000000000000004,14.000000000000002,2,0,0,0.39666666666666694,0.793333333333333
2023,5,19.426523297491038,0.14,29.0,12.0,0,0,0,0.44333333333333363,-0.3033333333333336
2023,6,19.00185185185185,0.33,28.277777777777782,10.5,1,0,0,0.5533333333333336,-0.22333333333333355
2023,7,18.00716845878136,0.04,29.0,10.0,0,0,0,0.1700000000000003,-0.13000000000000028
2023,8,19.03942652329749,0.01,29.61111111111111,10.999999999999998,0,0,0,0.12666666666666695,-0.11666666666666696
2023,9,20.316666666666666,0.24,30.27777777777778,12.111111111111109,1,0,0,0.09666666666666696,0.14333333333333304
2023,10,21.401433691756274,2.02,30.77777777777778,13.0,4,0,0,0.7566666666666669,1.2633333333333332
2023,11,19.47407407407407,5.78,26.22222222222222,14.722222222222221,10,0,0,2.68,3.1
2023,12,20.17624521072797,1.39,27.22222222222222,12.777777777777779,2,0,0,3.063333333333334,-1.673333333333334
